Group,Tank,Day,ZT,Chamber,FishCount
Experiment,3,1,23,1,2.566666667
Experiment,1,1,23,2,4.716666667
Experiment,2,1,23,2,4.45
Experiment,3,1,23,2,2
Experiment,1,1,23,3,1.516666667
Experiment,2,1,23,3,3.483333333
Experiment,3,1,23,3,2.5
Experiment,1,1,23,4,1.1
Experiment,2,1,23,4,1.983333333
Experiment,3,1,23,4,2.033333333
Experiment,1,1,23,5,2.016666667
Experiment,2,1,23,5,0.983333333
Experiment,3,1,23,5,2.9
Experiment,1,2,0,1,3.95
Experiment,2,2,0,1,1.2
Experiment,3,2,0,1,1.35
Experiment,1,2,0,2,1.58974359
Experiment,2,2,0,2,4.538461538
Experiment,3,2,0,2,0.615384615
Experiment,1,2,0,3,0.717948718
Experiment,2,2,0,3,3.666666667
Experiment,3,2,0,3,0.743589744
Experiment,1,2,0,4,1.256410256
Experiment,2,2,0,4,1.743589744
Experiment,3,2,0,4,3.025641026
Experiment,1,2,0,5,4.666666667
Experiment,2,2,0,5,0.897435897
Experiment,3,2,0,5,6.487179487
Experiment,1,2,1,1,4.166666667
Experiment,2,2,1,1,1.716666667
Experiment,3,2,1,1,1.583333333
Experiment,1,2,1,2,1.033333333
Experiment,2,2,1,2,4.116666667
Experiment,3,2,1,2,0.45
Experiment,1,2,1,3,2.066666667
Experiment,2,2,1,3,3.083333333
Experiment,3,2,1,3,2.633333333
Experiment,1,2,1,4,0.65
Experiment,2,2,1,4,1.966666667
Experiment,3,2,1,4,2.716666667
Experiment,1,2,1,5,4.083333333
Experiment,2,2,1,5,1.116666667
Experiment,3,2,1,5,4.616666667
Experiment,1,2,2,1,2.733333333
Experiment,2,2,2,1,1.733333333
Experiment,3,2,2,1,1.233333333
Experiment,1,2,2,2,1.816666667
Experiment,2,2,2,2,3.466666667
Experiment,3,2,2,2,0.183333333
Experiment,1,2,2,3,1.9
Experiment,2,2,2,3,2.916666667
Experiment,3,2,2,3,1.9
Experiment,1,2,2,4,1.083333333
Experiment,2,2,2,4,2.483333333
Experiment,3,2,2,4,6.3
Experiment,1,2,2,5,4.466666667
Experiment,2,2,2,5,1.4
Experiment,3,2,2,5,2.383333333
Experiment,1,2,3,1,3.866666667
Experiment,2,2,3,1,1.966666667
Experiment,3,2,3,1,1.75
Experiment,1,2,3,2,1.466666667
Experiment,2,2,3,2,3.25
Experiment,3,2,3,2,0.766666667
Experiment,1,2,3,3,2.966666667
Experiment,2,2,3,3,3.183333333
Experiment,3,2,3,3,0.816666667
Experiment,1,2,3,4,1.033333333
Experiment,2,2,3,4,2.333333333
Experiment,3,2,3,4,5.483333333
Experiment,1,2,3,5,2.666666667
Experiment,2,2,3,5,1.266666667
Experiment,3,2,3,5,3.183333333
Experiment,1,2,4,1,5.05
Experiment,2,2,4,1,0.966666667
Experiment,3,2,4,1,1.483333333
Experiment,1,2,4,2,1.216666667
Experiment,2,2,4,2,1.116666667
Experiment,3,2,4,2,0.166666667
Experiment,1,2,4,3,1.266666667
Experiment,2,2,4,3,2.5
Experiment,3,2,4,3,1.416666667
Experiment,1,2,4,4,0.85
Experiment,2,2,4,4,4.8
Experiment,3,2,4,4,6.133333333
Experiment,1,2,4,5,3.616666667
Experiment,2,2,4,5,2.616666667
Experiment,3,2,4,5,2.8
Experiment,1,2,5,1,3.366666667
Experiment,2,2,5,1,1.75
Experiment,3,2,5,1,1.183333333
Experiment,1,2,5,2,1.483333333
Experiment,2,2,5,2,0.933333333
Experiment,3,2,5,2,0
Experiment,1,2,5,3,2.55
Experiment,2,2,5,3,1.883333333
Experiment,3,2,5,3,2.05
Experiment,1,2,5,4,0.833333333
Experiment,2,2,5,4,5.883333333
Experiment,3,2,5,4,6.233333333
Experiment,1,2,5,5,3.766666667
Experiment,2,2,5,5,1.55
Experiment,3,2,5,5,2.533333333
Experiment,1,2,6,1,2.683333333
Experiment,2,2,6,1,0.133333333
Experiment,3,2,6,1,1.05
Experiment,1,2,6,2,1
Experiment,2,2,6,2,1.033333333
Experiment,3,2,6,2,0.05
Experiment,1,2,6,3,4.083333333
Experiment,2,2,6,3,2
Experiment,3,2,6,3,1.733333333
Experiment,1,2,6,4,0.916666667
Experiment,2,2,6,4,7.1
Experiment,3,2,6,4,5.566666667
Experiment,1,2,6,5,3.316666667
Experiment,2,2,6,5,1.733333333
Experiment,3,2,6,5,3.6
Experiment,1,2,7,1,4.15
Experiment,2,2,7,1,1.016666667
Experiment,3,2,7,1,1.1
Experiment,1,2,7,2,1.55
Experiment,2,2,7,2,1.133333333
Experiment,3,2,7,2,1.016666667
Experiment,1,2,7,3,2.783333333
Experiment,2,2,7,3,2.75
Experiment,3,2,7,3,2.033333333
Experiment,1,2,7,4,0.666666667
Experiment,2,2,7,4,5.016666667
Experiment,3,2,7,4,5.166666667
Experiment,1,2,7,5,2.85
Experiment,2,2,7,5,2.083333333
Experiment,3,2,7,5,2.683333333
Experiment,1,2,8,1,3.266666667
Experiment,2,2,8,1,0.816666667
Experiment,3,2,8,1,1.65
Experiment,1,2,8,2,1.05
Experiment,2,2,8,2,1.533333333
Experiment,3,2,8,2,0.35
Experiment,1,2,8,3,3.833333333
Experiment,2,2,8,3,2.1
Experiment,3,2,8,3,2.233333333
Experiment,1,2,8,4,1.45
Experiment,2,2,8,4,5.666666667
Experiment,3,2,8,4,4.25
Experiment,1,2,8,5,2.4
Experiment,2,2,8,5,1.883333333
Experiment,3,2,8,5,3.516666667
Experiment,1,2,9,1,2.783333333
Experiment,2,2,9,1,1.383333333
Experiment,3,2,9,1,1.116666667
Experiment,1,2,9,2,1.533333333
Experiment,2,2,9,2,1.45
Experiment,3,2,9,2,0.4
Experiment,1,2,9,3,2.15
Experiment,2,2,9,3,2.683333333
Experiment,3,2,9,3,3.566666667
Experiment,1,2,9,4,1.516666667
Experiment,2,2,9,4,4.6
Experiment,3,2,9,4,4.7
Experiment,1,2,9,5,4.016666667
Experiment,2,2,9,5,1.883333333
Experiment,3,2,9,5,2.216666667
Experiment,1,2,10,1,2.766666667
Experiment,2,2,10,1,0.85
Experiment,3,2,10,1,1.133333333
Experiment,1,2,10,2,1
Experiment,2,2,10,2,1.266666667
Experiment,3,2,10,2,0.35
Experiment,1,2,10,3,2.816666667
Experiment,2,2,10,3,1.816666667
Experiment,3,2,10,3,3.416666667
Experiment,1,2,10,4,1.65
Experiment,2,2,10,4,6
Experiment,3,2,10,4,5.05
Experiment,1,2,10,5,3.766666667
Experiment,2,2,10,5,2.066666667
Experiment,3,2,10,5,2.05
Experiment,1,2,11,1,2.433333333
Experiment,2,2,11,1,1.083333333
Experiment,3,2,11,1,1
Experiment,1,2,11,2,2.633333333
Experiment,2,2,11,2,2.316666667
Experiment,3,2,11,2,0.916666667
Experiment,1,2,11,3,1.65
Experiment,2,2,11,3,4.55
Experiment,3,2,11,3,2.516666667
Experiment,1,2,11,4,2.15
Experiment,2,2,11,4,2.466666667
Experiment,3,2,11,4,4.316666667
Experiment,1,2,11,5,3.133333333
Experiment,2,2,11,5,1.583333333
Experiment,3,2,11,5,3.25
Experiment,1,2,12,1,1.933333333
Experiment,2,2,12,1,1.366666667
Experiment,3,2,12,1,1.883333333
Experiment,1,2,12,2,4.583333333
Experiment,2,2,12,2,4.083333333
Experiment,3,2,12,2,2.9
Experiment,1,2,12,3,2.783333333
Experiment,2,2,12,3,4.233333333
Experiment,3,2,12,3,2.566666667
Experiment,1,2,12,4,1.466666667
Experiment,2,2,12,4,1.366666667
Experiment,3,2,12,4,2.116666667
Experiment,1,2,12,5,1.233333333
Experiment,2,2,12,5,0.95
Experiment,3,2,12,5,2.533333333
Experiment,1,2,13,1,2
Experiment,2,2,13,1,1.483333333
Experiment,3,2,13,1,1.616666667
Experiment,1,2,13,2,4.933333333
Experiment,2,2,13,2,4.033333333
Experiment,3,2,13,2,4.366666667
Experiment,1,2,13,3,2.816666667
Experiment,2,2,13,3,4.1
Experiment,3,2,13,3,1.783333333
Experiment,1,2,13,4,1.2
Experiment,2,2,13,4,1.666666667
Experiment,3,2,13,4,1.983333333
Experiment,1,2,13,5,1.05
Experiment,2,2,13,5,0.716666667
Experiment,3,2,13,5,2.25
Experiment,1,2,14,1,1.316666667
Experiment,2,2,14,1,0.566666667
Experiment,3,2,14,1,1.133333333
Experiment,1,2,14,2,5.866666667
Experiment,2,2,14,2,5.766666667
Experiment,3,2,14,2,4.966666667
Experiment,1,2,14,3,2.3
Experiment,2,2,14,3,3.45
Experiment,3,2,14,3,2.316666667
Experiment,1,2,14,4,1.5
Experiment,2,2,14,4,1.566666667
Experiment,3,2,14,4,1.666666667
Experiment,1,2,14,5,1.016666667
Experiment,2,2,14,5,0.65
Experiment,3,2,14,5,1.916666667
Experiment,1,2,15,1,1.266666667
Experiment,2,2,15,1,0.833333333
Experiment,3,2,15,1,1
Experiment,1,2,15,2,5.866666667
Experiment,2,2,15,2,5.233333333
Experiment,3,2,15,2,5.016666667
Experiment,1,2,15,3,2.566666667
Experiment,2,2,15,3,3.25
Experiment,3,2,15,3,3
Experiment,1,2,15,4,1.316666667
Experiment,2,2,15,4,1.866666667
Experiment,3,2,15,4,1.533333333
Experiment,1,2,15,5,0.983333333
Experiment,2,2,15,5,0.816666667
Experiment,3,2,15,5,1.45
Experiment,1,2,16,1,2
Experiment,2,2,16,1,1.233333333
Experiment,3,2,16,1,0.733333333
Experiment,1,2,16,2,4.966666667
Experiment,2,2,16,2,5.4
Experiment,3,2,16,2,4.233333333
Experiment,1,2,16,3,3.2
Experiment,2,2,16,3,2.9
Experiment,3,2,16,3,2.166666667
Experiment,1,2,16,4,0.766666667
Experiment,2,2,16,4,1.666666667
Experiment,3,2,16,4,2.833333333
Experiment,1,2,16,5,1.066666667
Experiment,2,2,16,5,0.8
Experiment,3,2,16,5,2.033333333
Experiment,1,2,17,1,1.9
Experiment,2,2,17,1,1.283333333
Experiment,3,2,17,1,0.766666667
Experiment,1,2,17,2,5.283333333
Experiment,2,2,17,2,5.183333333
Experiment,3,2,17,2,4.633333333
Experiment,1,2,17,3,2.733333333
Experiment,2,2,17,3,1.933333333
Experiment,3,2,17,3,2.9
Experiment,1,2,17,4,1
Experiment,2,2,17,4,2.483333333
Experiment,3,2,17,4,2.8
Experiment,1,2,17,5,1.083333333
Experiment,2,2,17,5,1.116666667
Experiment,3,2,17,5,0.9
Experiment,1,2,18,1,2.366666667
Experiment,2,2,18,1,1.133333333
Experiment,3,2,18,1,1
Experiment,1,2,18,2,5.716666667
Experiment,2,2,18,2,5.516666667
Experiment,3,2,18,2,4.866666667
Experiment,1,2,18,3,1.916666667
Experiment,2,2,18,3,2.4
Experiment,3,2,18,3,2.983333333
Experiment,1,2,18,4,1
Experiment,2,2,18,4,2.15
Experiment,3,2,18,4,2.25
Experiment,1,2,18,5,1
Experiment,2,2,18,5,0.8
Experiment,3,2,18,5,0.9
Experiment,1,2,19,1,1.333333333
Experiment,2,2,19,1,0.933333333
Experiment,3,2,19,1,1.283333333
Experiment,1,2,19,2,5.8
Experiment,2,2,19,2,5.716666667
Experiment,3,2,19,2,4.583333333
Experiment,1,2,19,3,2.2
Experiment,2,2,19,3,3.033333333
Experiment,3,2,19,3,3.783333333
Experiment,1,2,19,4,1.65
Experiment,2,2,19,4,1.683333333
Experiment,3,2,19,4,1.3
Experiment,1,2,19,5,1.016666667
Experiment,2,2,19,5,0.633333333
Experiment,3,2,19,5,1.05
Experiment,1,2,20,1,1.816666667
Experiment,2,2,20,1,0.75
Experiment,3,2,20,1,1.616666667
Experiment,1,2,20,2,5.933333333
Experiment,2,2,20,2,4.716666667
Experiment,3,2,20,2,3.933333333
Experiment,1,2,20,3,2.2
Experiment,2,2,20,3,2.716666667
Experiment,3,2,20,3,3.566666667
Experiment,1,2,20,4,1.033333333
Experiment,2,2,20,4,3.1
Experiment,3,2,20,4,1.4
Experiment,1,2,20,5,1.016666667
Experiment,2,2,20,5,0.716666667
Experiment,3,2,20,5,1.483333333
Experiment,1,2,21,1,1.916666667
Experiment,2,2,21,1,0.65
Experiment,3,2,21,1,1.516666667
Experiment,1,2,21,2,5.616666667
Experiment,2,2,21,2,5.083333333
Experiment,3,2,21,2,4.383333333
Experiment,1,2,21,3,2.516666667
Experiment,2,2,21,3,3.233333333
Experiment,3,2,21,3,3.2
Experiment,1,2,21,4,0.95
Experiment,2,2,21,4,1.983333333
Experiment,3,2,21,4,1.366666667
Experiment,1,2,21,5,1
Experiment,2,2,21,5,1.05
Experiment,3,2,21,5,1.533333333
Experiment,1,2,22,1,2.75
Experiment,2,2,22,1,0.383333333
Experiment,3,2,22,1,1.666666667
Experiment,1,2,22,2,4.416666667
Experiment,2,2,22,2,5.083333333
Experiment,3,2,22,2,3.966666667
Experiment,1,2,22,3,2.583333333
Experiment,2,2,22,3,3.3
Experiment,3,2,22,3,3.116666667
Experiment,1,2,22,4,0.766666667
Experiment,2,2,22,4,1.366666667
Experiment,3,2,22,4,1.5
Experiment,1,2,22,5,1.483333333
Experiment,2,2,22,5,1.866666667
Experiment,3,2,22,5,1.75
Experiment,1,2,23,1,2.583333333
Experiment,2,2,23,1,0.6
Experiment,3,2,23,1,1.066666667
Experiment,1,2,23,2,3.783333333
Experiment,2,2,23,2,4.283333333
Experiment,3,2,23,2,5.1
Experiment,1,2,23,3,1.9
Experiment,2,2,23,3,3.383333333
Experiment,3,2,23,3,3.05
Experiment,1,2,23,4,1.433333333
Experiment,2,2,23,4,1.983333333
Experiment,3,2,23,4,1.483333333
Experiment,1,2,23,5,2.3
Experiment,2,2,23,5,1.75
Experiment,3,2,23,5,1.3
Experiment,1,3,0,1,4.466666667
Experiment,2,3,0,1,1.85
Experiment,3,3,0,1,1.233333333
Experiment,1,3,0,2,2.358974359
Experiment,2,3,0,2,1.307692308
Experiment,3,3,0,2,1.846153846
Experiment,1,3,0,3,1.974358974
Experiment,2,3,0,3,2.512820513
Experiment,3,3,0,3,1.871794872
Experiment,1,3,0,4,0.58974359
Experiment,2,3,0,4,2.692307692
Experiment,3,3,0,4,2.769230769
Experiment,1,3,0,5,2.538461538
Experiment,2,3,0,5,3.179487179
Experiment,3,3,0,5,4.128205128
Experiment,1,3,1,1,4.416666667
Experiment,2,3,1,1,2.083333333
Experiment,3,3,1,1,1.633333333
Experiment,1,3,1,2,2.15
Experiment,2,3,1,2,1.066666667
Experiment,3,3,1,2,0.95
Experiment,1,3,1,3,1.866666667
Experiment,2,3,1,3,2
Experiment,3,3,1,3,3.283333333
Experiment,1,3,1,4,1.083333333
Experiment,2,3,1,4,3.033333333
Experiment,3,3,1,4,2.6
Experiment,1,3,1,5,2.483333333
Experiment,2,3,1,5,3.816666667
Experiment,3,3,1,5,3.533333333
Experiment,1,3,2,1,3.45
Experiment,2,3,2,1,2.666666667
Experiment,3,3,2,1,1.016666667
Experiment,1,3,2,2,1.533333333
Experiment,2,3,2,2,1.8
Experiment,3,3,2,2,2.316666667
Experiment,1,3,2,3,3.45
Experiment,2,3,2,3,1.533333333
Experiment,3,3,2,3,2.433333333
Experiment,1,3,2,4,1.416666667
Experiment,2,3,2,4,3.1
Experiment,3,3,2,4,4.433333333
Experiment,1,3,2,5,2.15
Experiment,2,3,2,5,2.9
Experiment,3,3,2,5,1.8
Experiment,1,3,3,1,5.066666667
Experiment,2,3,3,1,3.3
Experiment,3,3,3,1,1.216666667
Experiment,1,3,3,2,1.833333333
Experiment,2,3,3,2,0.966666667
Experiment,3,3,3,2,1.6
Experiment,1,3,3,3,1.566666667
